goalie,period,x,y,shotType,target,goalProb
8471695,2,75.0,13.0,Wrist Shot,0,0.129
8471695,2,85.0,0.0,Backhand,0,0.372
8471695,2,36.0,25.0,Snap Shot,0,0.036
8471695,2,61.0,20.0,Slap Shot,0,0.161
8471695,2,83.0,-8.0,Wrist Shot,0,0.163
8471695,2,71.0,-30.0,Slap Shot,0,0.079
8471239,2,61.0,-10.0,Wrist Shot,0,0.079
8471695,2,63.0,-17.0,Snap Shot,0,0.086
8471695,2,83.0,-9.0,Wrist Shot,0,0.106
8471695,2,67.0,-18.0,Snap Shot,0,0.09
8471695,2,58.0,-16.0,Slap Shot,0,0.103
8471695,2,68.0,-12.0,Snap Shot,0,0.146
8471695,2,27.0,-17.0,Slap Shot,0,0.038
8471695,2,82.0,8.0,Snap Shot,0,0.205
8471239,2,30.0,-6.0,Wrist Shot,0,0.033
8471239,2,82.0,-3.0,Wrist Shot,1,0.238
8471239,3,45.0,37.0,Wrist Shot,0,0.017
8471239,3,82.0,-11.0,Backhand,0,0.098
8471695,3,83.0,-19.0,Wrist Shot,0,0.054
8471239,3,76.0,4.0,Wrist Shot,0,0.165
8471695,3,34.0,-32.0,Slap Shot,0,0.026
8471695,3,35.0,-17.0,Slap Shot,0,0.032
8471695,3,83.0,-11.0,Wrist Shot,0,0.098
8471695,3,40.0,39.0,Wrist Shot,0,0.016
8471239,3,38.0,-18.0,Slap Shot,0,0.035
8471695,3,74.0,16.0,Wrist Shot,0,0.132
8471239,3,75.0,-16.0,Backhand,0,0.096
8471239,3,77.0,-5.0,Wrist Shot,0,0.166
8471239,3,93.0,-10.0,Wrist Shot,0,0.094
8471239,3,41.0,-25.0,Wrist Shot,0,0.024
8471239,1,84.0,-4.0,Snap Shot,1,0.26
8471239,1,35.0,-15.0,Wrist Shot,0,0.023
8475683,1,73.0,25.0,Wrist Shot,0,0.057
8475683,1,55.0,-11.0,Wrist Shot,1,0.06
8471239,1,19.0,31.0,Snap Shot,0,0.016
8471239,1,72.0,31.0,Snap Shot,0,0.048
8471239,1,21.0,4.0,Tip-In,0,0.023
8475683,1,79.0,0.0,Tip-In,0,0.196
8471239,1,-1.0,-29.0,Snap Shot,0,0.02
8475683,1,79.0,2.0,Backhand,0,0.177
8475683,1,83.0,8.0,Backhand,0,0.155
8471239,1,69.0,2.0,Snap Shot,0,0.184
8471239,1,38.0,-22.0,Snap Shot,0,0.028
8471239,1,82.0,21.0,Snap Shot,0,0.098
8471239,1,66.0,-36.0,Slap Shot,0,0.049
8471239,1,34.0,-17.0,Wrist Shot,0,0.023
8475683,1,36.0,14.0,Wrist Shot,0,0.025
8475683,1,81.0,7.0,Wrist Shot,0,0.15
8471239,1,79.0,8.0,Wrist Shot,0,0.162
8475683,1,83.0,6.0,Backhand,1,0.231
8475683,2,42.0,-24.0,Wrist Shot,1,0.024
8475683,2,80.0,-1.0,Tip-In,1,0.202
8475683,2,72.0,23.0,Snap Shot,0,0.107
8471239,2,46.0,17.0,Snap Shot,0,0.034
8475683,2,66.0,-22.0,Snap Shot,0,0.085
8471239,2,66.0,-19.0,Snap Shot,0,0.117
8471239,2,35.0,-4.0,Snap Shot,0,0.044
8471239,2,56.0,-13.0,Wrist Shot,1,0.097
8475683,2,64.0,15.0,Snap Shot,0,0.13
8475683,2,66.0,9.0,Slap Shot,0,0.194
8475683,2,58.0,22.0,Slap Shot,0,0.075
8475683,2,35.0,-13.0,Wrist Shot,0,0.024
8471239,2,29.0,38.0,Slap Shot,0,0.019
8471239,2,57.0,-27.0,Snap Shot,0,0.045
8471239,2,27.0,0.0,Slap Shot,0,0.029
8475683,2,50.0,40.0,Snap Shot,0,0.02
8471239,2,31.0,30.0,Slap Shot,0,0.019
8471239,2,67.0,-14.0,Snap Shot,1,0.105
8471239,3,49.0,-27.0,Slap Shot,1,0.037
8475683,3,31.0,0.0,Tip-In,0,0.025
8471239,3,63.0,7.0,Slap Shot,0,0.14
8471239,3,65.0,-24.0,Snap Shot,0,0.073
8475683,3,73.0,29.0,Slap Shot,0,0.064
8471239,3,73.0,0.0,Tip-In,1,0.191
8471239,3,80.0,9.0,Tip-In,0,0.151
8471239,3,79.0,5.0,Backhand,0,0.174
8475683,3,6.0,-16.0,Slap Shot,0,0.024
8471239,3,62.0,4.0,Backhand,0,0.089
8471239,3,63.0,4.0,Wrist Shot,0,0.086
8471239,3,61.0,17.0,Wrist Shot,0,0.075
8471239,3,64.0,25.0,Wrist Shot,0,0.061
8471239,3,84.0,-2.0,Backhand,1,0.277
8471239,3,31.0,-38.0,Snap Shot,0,0.018
8471239,3,65.0,20.0,Snap Shot,0,0.097
